# theme|daily relevance,actionability,interest,breadth (1-5)|editorial rationale; not audience measurements
SLP-004|5,5,5,5|毎日の飲み物と睡眠が結び付き、量と時刻という具体的な判断にできる。
SLP-009|5,5,5,5|眠いのに寝ない経験に直結し、自由時間と生活制約も扱える。
MOT-001|5,5,5,5|先延ばしを怠けと決めつけず、感情と課題の設計から理解できる。
HAB-001|5,5,4,5|習慣化の日数への関心を、個人差と継続の判断につなげられる。
DIG-004|5,5,4,5|スマホを減らす方法が生活に直結し、制限方法を比較できる。
MON-002|5,5,4,5|日常の決済から、使いすぎと支払手段を考えられる。
ATT-004|5,5,4,5|仕事・勉強の休憩に直結し、疲れと成果の違いを説明できる。
PER-002|5,4,5,5|変われるかという関心があり、固定的な性格観を検討できる。
SLP-007|5,4,5,5|平日の不足を休日で補うという身近な行動に独立した疑問がある。
DEC-006|5,4,5,5|買い物や進路の迷いに結び付き、選択肢が多いことの条件差を扱える。
LEA-001|5,5,4,4|資格・学校・語学で使う復習の仕方につなげられる。
WRK-002|5,5,4,4|退勤後も仕事が頭から離れない人に関係し、個人と組織の両面を扱える。
NUT-003|5,4,4,5|ながら食べを、その場の摂取量と後の食欲に分けて考えられる。
DIG-001|5,4,4,5|SNSと気分は自分事にしやすく、単純な善悪論を検証できる。
GEN-001|5,3,5,5|家族の性格を理解したい関心と、遺伝で決まるという誤解の双方を扱える。
WEL-005|5,3,5,5|収入と幸福は幅広い読者に関係し、平均と個人差の読み方につながる。
SLP-001|5,4,4,5|毎日の睡眠時間の判断に直結し、万人共通の正解を避けて説明できる。
HAB-005|5,5,3,4|具体的な状況と行動を組み合わせる計画につなげられる。
LAN-008|4,5,5,4|会話の悩みを、聞き方や追質問という行動につなげられる。
MON-001|4,5,5,4|物を買う以外の支出の価値を、忙しさと自由時間から考えられる。
WRK-001|4,4,5,4|働き方の選択と現場試験の比較を結びつけられる。
EMO-008|4,4,5,5|怒りを発散すればよいという通説を条件付きで検討できる。
EXE-005|4,5,4,4|仕事後の運動と睡眠の両立という具体的な判断につながる。
INT-006|4,4,5,4|家事の見えない負担という日常の不満を言語化できる。
HPS-009|4,4,5,4|症状検索で不安が増える経験を、情報の使い方の話にできる。
CRE-003|4,4,5,4|動画を替え続ける行動と、退屈という体感が結び付く。
SLP-010|4,4,4,4|睡眠スコアに関心のある人に、測定と診断の違いを説明できる。
ADD-001|4,4,5,4|本人と周囲に関係し、依存を意志だけで説明しない記事になる。
ADD-004|4,4,5,4|ストレス対処の実感と、短期離脱・長期経過を比較できる。
ENV-001|4,5,4,5|暑さの中の仕事や学習という生活環境に直結する。
PER-003|5,3,4,5|内向性と人付き合いの負担を、道徳評価抜きで扱える。
MOT-006|4,5,4,4|高い基準と失敗不安を分け、着手の悩みを整理できる。
ATT-003|4,5,4,4|中断した仕事に戻れないという具体的な業務場面につながる。
SLP-002|5,4,3,5|室内中心の生活と光を、観測と提言に分けて説明できる。
REL-002|5,3,4,5|一人の時間と孤独感の区別が、さまざまな生活形態に役立つ。
MON-008|5,4,4,4|使わない契約という出費に結び付き、解約の手間を考えられる。
DEC-004|5,4,4,4|過去のお金や時間に引かれる判断を、身近な継続・撤退の場面で説明できる。
DEV-002|4,3,5,4|有名なテストを見直し、子どもの将来の決めつけを避けられる。
HPS-012|4,4,4,5|健康ニュースの割合を読み違えない力につながる。
WEL-002|5,4,3,4|簡単に見える習慣の効果の大きさと、向き不向きを比較できる。
GEN-002|4,2,5,5|遺伝率の誤読を修正し、性格や才能の記事の土台にできる。
NUT-008|4,3,5,4|腸と心の話を、動物実験と人の研究に分けて検証できる。
LAN-001|4,4,4,4|成人の語学目標を、母語並みと実用能力に分けられる。
SOC-009|4,4,4,4|職場で質問・異論を言えるかという身近な問題につながる。
WRK-011|4,3,5,4|実績があっても自信がない感覚を、診断と混同せず扱える。
EXE-002|4,4,4,4|運動と気分を、治療の代替ではない支援の話として整理できる。
MEN-005|4,4,4,4|普及した手法の効果・比較条件・安全性を一緒に検討できる。
LIF-012|4,4,4,4|入学や転職の直後の居場所への不安に結び付く。
ATT-005|4,4,4,4|音楽を流す場面と、作業の種類による違いを比較できる。
HPS-003|4,4,4,4|緊張と腹部症状を、気のせいとせずに説明できる。
