# key|theme IDs|relevance 1-5|design|method signals 1-4|direction|finding in Japanese|limitations in Japanese
C000|SLP-010|5|position_statement|2|context|睡眠機器を臨床評価の補助として扱う考え方と、診断への安易な転用の問題を整理した立場表明。|2018年時点の米国の声明。現在の全製品の承認状況や精度を示すものではない。
C001|SLP-010|5|device_validation|3|mixed|健康な若年成人34人・3夜の検証。睡眠を検出する感度は高い一方、覚醒や睡眠段階の判定に限界があった。|特定の旧世代機器と実験室の結果。現在の同ブランドの全製品にそのまま適用しない。
C002|SLP-010|5|systematic_review_meta_analysis|3|mixed|24研究・798人を統合。機器と睡眠ポリグラフの間に複数の睡眠指標で差が見られた。|機器・対象・研究条件が異なる。平均差が小さくても個人の測定誤差が小さいとは限らない。
C003|SLP-010|5|device_validation|3|mixed|62人・1夜の検証。睡眠の検出に比べ覚醒の識別が難しく、段階判定の一致度は機器間で異なった。|男性が多い限定標本で、1夜の結果。製品の世代とアルゴリズム更新を区別する。
C004|SLP-004|5|systematic_review_meta_analysis|3|supports|24研究を統合し、カフェインによる睡眠時間・効率・入眠などへの影響を報告した。|摂取をやめる時刻の推定は統合モデルに基づく。8.8時間などの数字を万人に共通する安全な締切にしない。追加量・習慣・対象者の差を単回試験と比較する。
C005|SLP-005|5|systematic_review_meta_analysis|3|mixed|27研究でアルコールとREM睡眠の減少などを検討。寝つきへの作用と、その後の睡眠構造への作用は同一でない。|総睡眠時間や睡眠効率などには大きな不確実性がある。寝酒を勧めず、量や時刻を個人への処方にしない。
C006|EXE-005|5|systematic_review_meta_analysis|3|mixed|23研究の統合は夜の運動全般が睡眠を悪化させるという説明を支持しなかった。就寝直前の激しい運動など条件差を検討。|一つの研究を除くと一部の調整変数の効果が消えた。健康成人の結果で、不眠症や全運動強度に一般化しない。
C007|EXE-005|5|systematic_review_meta_analysis|3|mixed|主に15試験・194人を統合。良好な睡眠の健康成人では、就寝より前に終える高強度運動で多くの睡眠指標に明確な悪化はなかった。|小規模な試験の集積。REM睡眠の変化もあり、非有意を全員への無影響保証にしない。
C008|GEN-007|2|methodological_review|2|context|多遺伝子スコアの予測性能が祖先集団間で異なるという移植可能性の問題を論じる。|市販の性格・適職検査を直接検証した論文ではない。背景資料としてのみ使用。2021年の訂正告知の内容は未精査。
C009|GEN-007|1|correction_notice|1|not_evaluated|-|上記論文に関する訂正の書誌を確認。内容と影響は未確認で、独立した効果研究に数えない。
C010|GEN-009|5|narrative_review|2|mixed|世代間のトラウマ関連研究を整理し、人の知見では遺伝・胎内環境・養育等を一つの機序に確定できないと指摘。|強い機序検証の多くは動物研究。人の経世代遺伝を証明したものとして扱わない。
C011|ADD-009|5|laboratory_experiments|2|supports|簡略化したギャンブル課題で、惜しい外れは不快でも継続欲求を高める場合があり、本人の操作可能性が関わった。|神経活動と主観の実験であり、個人の依存症や現実の損失を確実に予測しない。依存を強める設計指南にしない。
C012|ADD-010|5|systematic_review_observational|3|association|23論文の検討で問題的なスマホ使用と抑うつ・不安などの関連を整理した。|収載した関連研究から因果方向や正式な診断の妥当性は確定できない。
C013|ADD-010|5|systematic_review_observational|3|association|13研究で、スマホの問題的使用とSNSの問題的使用に重なりがあることを整理。|端末そのものと、使っているアプリや活動を区別する。関連の強さを依存症の診断に使わない。
C014|ADD-010|5|systematic_review_measurement|3|mixed|78尺度を検討し、理論的基盤や信頼性の検証が十分でない尺度も多いと指摘。|高い尺度得点と疾患の診断は別。使用時間だけで病理化しない。
C015|HAB-008|5|systematic_review_meta_analysis|3|mixed|金銭的報酬による健康行動の変化を34研究で検討し、報酬終了後の持続には限界があると報告。|行動や対象集団が異なる。報酬は必ず逆効果・必ず持続するという両極端を避ける。
C016|HAB-009|4|metadata_only|1|not_evaluated|-|通勤手段と文脈変化を扱う論文の書誌のみ確認。抄録・結果・独立追試は未確認。
C017|HAB-005|5|metadata_only|1|not_evaluated|-|実行意図の基礎的統合研究の書誌のみ。書籍シリーズの章であり、本文や効果量を今回確認していない。
C018|PER-003|5|randomized_trial|3|mixed|1週間の外向的行動介入では平均的な便益があったが、内向性の高い参加者では疲れや否定的感情など負担も見られた。|全員に外向的行動を増やす助言にしない。短期・自己報告を含み、追加の比較群は別研究由来。
C019|PER-007|5|theoretical_review|2|context|性格特性を、場面ごとに変動する状態の分布と説明機序として捉える理論を提示。|理論の提案であり、特定の生活介入や診断の有効性を検証した研究ではない。
C020|PER-008|5|metadata_only|1|not_evaluated|-|個人的な妥当性判断を扱う古典の書誌。今回、原文の実験方法や結果は未確認。
C021|MOT-007|5|meta_analysis_experiments|3|mixed|128研究で、予告された物的報酬などと自由選択時の活動低下を検討。一方で肯定的なフィードバックは異なる結果だった。|報酬の種類と測定する動機を区別。褒めると必ずやる気が消えるという結論ではない。
C022|MOT-007|5|meta_analysis|3|mixed|自由時間の課題選択で測る動機と、課題成績で測る動機では、外的報酬の評価が異なると報告。|1992年の研究。別のメタ分析と収載基準・アウトカムを照合し、単純な賛否で結論を選ばない。
C023|MOT-010|5|archival_field_studies|2|association|週・月・年の始まりなどの節目の後に、検索・ジム利用・目標へのコミットメントが増える傾向を報告。|行動開始の観察と、長期の習慣維持への因果効果は別。
C024|ATT-003|5|metadata_only|1|not_evaluated|-|注意の残留と仕事の切り替えを扱う原論文の書誌のみ確認。全実験・追試の読解は未実施。
C025|ATT-005|5|meta_analysis|3|mixed|背景音楽の作用は課題で異なり、読解や記憶への影響と、気分や運動への影響は同じではないと整理。|全体平均がゼロでも全課題が無影響とは限らない。古い少数研究の条件差と品質に注意。
C026|RES-002,RES-008|5|preregistered_multisite_replications|3|mixed|28現象を多国・多標本で事前登録して追試。効果の大きさと再現性が現象ごとに異なることを報告。|選ばれた現象の集合であり、心理学全体の再現率ではない。個別現象の結論には該当課題の本文が必要。
C027|DEC-003|5|metadata_only|1|not_evaluated|-|2024年の刊行版の書誌を優先。類似題名のプレプリントの抄録を、刊行版の精査済み結果として転記しない。
C028|DEC-005|4|meta_analysis|3|mixed|18研究で、利得・損失の表現によるリスク選択と年齢差が、場面や金額等で異なることを整理。|一般的フレーミングの全効果ではなく、年齢差を中心とした部分的な根拠。
C029|DEC-006|5|metadata_only|1|not_evaluated|-|選択肢過多のメタ分析の書誌のみ確認。効果量や条件差は原文確認後に記載する。
C030|DEC-009|5|metadata_only|1|not_evaluated|-|統計的な見かけを論じる批判論文の書誌。批判の主張だけで現象全体を否定せず、原研究と応答を併読する。
C031|DEC-010|5|meta_analysis|3|mixed|58研究で初期選択肢の平均的な作用を示す一方、無効果や逆方向の例もあり、分野や受け止め方で異なると報告。|メタ分析の効果量は選択確率の固定増加率ではない。変更のしやすさと倫理も別に検討する。
C032|SOC-001|5|field_experiment|3|mixed|家庭の節電実験で、多数派の使用量だけを伝えると逆効果になる場合があり、社会的評価の伝え方で違いが見られた。|電力使用という特定場面の知見。すべての健康行動や集団に同じ効果を保証しない。
C033|SOC-005|5|meta_analysis|3|challenges|173研究の統合では、本人と他者で原因説明が異なるという単純な平均的非対称性はほぼ見られず、場面・感情価で条件差があった。|帰属バイアスのすべてを否定する結果ではない。行為者観察者差と他の帰属概念を分ける。
C034|SOC-006|5|metadata_only|1|not_evaluated|-|スポットライト効果の古典の書誌のみ。現在の再現性や効果量は追加確認が必要。
