@work|仕事・働き方・キャリア|WRK
在宅と出社を組み合わせると仕事の成果はどう変わる？|hybrid work;employee retention|週2回在宅にするか、全日出社にするかを職場で検討する。|ATT-001,PER-005|単一企業のハイブリッド勤務試験を完全在宅や全職種へ一般化しない。
仕事を終えても頭から離れないのはなぜ？|psychological detachment;recovery from work|退勤後もメールや明日の仕事が気になり休めない。|EMO-004,MEN-007|考えない努力だけを解決策にせず、業務量と連絡ルールも扱う。
仕事のストレスは忙しさだけで決まる？|job demands resources;job control|仕事量は同じでも、裁量や相談相手の有無で負担が違う。|EMO-001,SOC-009|個人の受け止め方だけに還元せず、労働条件を含める。
頑張りに見合う評価がないと何が起きる？|effort reward imbalance;organizational justice|責任ばかり増え、給与や評価が変わらないと感じる。|WEL-005,MEN-007|自己報告の不公平感と客観的待遇を区別する。
笑顔で接客し続ける仕事はなぜ疲れる？|emotional labor;surface acting|嫌な応対を受けても表情を変えられず疲れる。|EMO-003|演技をやめれば解決するとせず、職務上の制約と支援を確認する。
仕事のやり方を自分で工夫すると満足度は上がる？|job crafting;work engagement|作業分担や相談先を少し変え、自分の強みを活かす。|PER-005,MOT-003|自由に変えられない仕事もあり、会社の安全手順に反する変更を勧めない。
好きな仕事より自分に合う仕事を選ぶべき？|person job fit;vocational interests|仕事内容、価値観、得意なことを転職時に比較する。|PER-001,PER-005|性格検査だけで適職を断定せず、経験や条件も含める。
通勤時間は睡眠や気分にどれくらい関わる？|commuting;subjective well being|家賃が安い遠方の家と職場に近い家の生活を比較する。|SLP-001,WEL-009|住居選択の自己選択や所得差を考慮し、一律の許容時間を出さない。
会議が続くと仕事が進まないのはなぜ？|meeting load;work fragmentation|会議の合間が短く、集中作業を始められない。|ATT-001,ATT-003|会議の本数だけで有害と判断せず、意思決定や連携の便益も扱う。
夜の仕事連絡は返さなくても負担になる？|after hours work communication;telepressure|休日の業務通知に返信義務はなくても気になってしまう。|ATT-002,DIG-005|関連研究だけで因果を断定せず、職場の期待と緊急連絡を区別する。
実績があっても自信が持てない：インポスター感とは？|impostor phenomenon;work self doubt|評価されても、実力がないと見抜かれる不安が消えない。|PER-010,MOT-006|一般的な経験と診断を混同せず、本人の能力不足と解釈しない。
仕事に熱中することと働きすぎをやめられないことは違う？|workaholism;work engagement|休日も働きたいのか、働かないと不安なのかを整理する。|MOT-003,MEN-007|労働時間だけで依存を判定せず、制約や生活支障を確認する。
週4日勤務は休みが増えるだけでなく健康にも影響する？|four day workweek;work time reduction|労働時間を減らす制度と、同じ時間を4日に圧縮する制度を比較する。|WEL-009,SLP-001|時間短縮と圧縮労働を区別。自己選択企業の試験を全職場に適用しない。
職場で雑談する時間には意味がある？|workplace social interaction;belonging|雑談は好きではないが、誰にも相談できない状態も困る。|REL-004,REL-001|交流を強制せず、孤独と静かに働きたい希望を区別する。
@money_consumption|お金・買い物・消費心理|MON
家事を外注して時間を買うと幸福度は上がる？|time saving purchases;time scarcity|掃除代行や調理済み食品に使うお金と自由時間を比較する。|WEL-005,WEL-009|支出の余裕、代わりにする活動、サービスの負担も確認する。
キャッシュレスだと現金より使いすぎる？|cashless payment;spending behavior|カードやスマホで払う月と現金中心の月の感覚を比較する。|DEC-007|決済手段の平均効果を個人の必然とせず、予算管理機能の違いも扱う。
同じお金なのにボーナスだけ使いやすいのはなぜ？|mental accounting;windfall spending|臨時収入は普段なら買わない物に使いたくなる。|DEC-003|家計管理の便益もあり、心理的な区分けをすべて非合理としない。
買うときに支払いの痛みを感じるのはなぜ？|pain of paying;payment coupling|月額料金は気にならないのに一括料金を高く感じる。|DEC-005|脳画像から実際の損得や依存症を診断しない。
疲れた夜に衝動買いしやすくなる？|impulse buying;affect self regulation|帰宅後に通販を眺め、予定外の商品を買ってしまう。|EMO-001,MOT-001|疲労で自制心が必ず枯渇するという単純モデルに固定しない。
お金の心配は考える余裕を奪う？|financial scarcity;cognitive bandwidth|請求の心配で勉強や仕事に集中しにくい。|ATT-007,EMO-004|困窮を能力不足と扱わず、研究の再現性と構造的要因を確認する。
パートナーとお金の話が難しいのはなぜ？|financial communication;couple conflict|貯金、趣味、家計負担の優先順位が食い違う。|REL-010|一方の価値観を正解とせず、経済的支配や安全の問題を区別する。
使わないサブスクを解約できないのはなぜ？|subscription inertia;default effects|無料期間が終わっても契約を見直さない。|DEC-010,DEC-004|基本概念の応用記事として位置づけ、デフォルト効果の重複説明に終始しない。
期間限定や残りわずかに弱いのはなぜ？|scarcity appeals;purchase urgency|必要か考える前にタイムセールで注文する。|DIG-005,DEC-007|希少性の演出と本当の供給制約を分け、売り手の操作技法にしない。
無料が魅力的すぎるのはなぜ？|zero price effect;consumer choice|送料を無料にするため不要な物を追加する。|DEC-005|総支払額と便益を扱い、無料なら常に判断が狂うとしない。
自分の持ち物を高く評価するのはなぜ？|endowment effect;ownership valuation|中古品を売るとき、買い手の提示額が安すぎると感じる。|DEC-003|経験、愛着、取引慣れ、実験手続きによる条件差を確認する。
最高の買い物を探し続けるほど満足しなくなる？|maximizing;satisficing|比較サイトを巡り続け、買った後も他の商品が気になる。|DEC-006,WEL-007|入念な比較の利点を否定せず、選択の重要度を区別する。
贈る側が喜ばれると思う物と欲しい物は違う？|gift giving;giver recipient asymmetry|サプライズを選ぶか、相手が指定した品を贈るか悩む。|REL-004,REL-010|文化や親密さにより異なり、一つの贈り方を正解にしない。
借金と心の健康はどう関係する？|unsecured debt;financial stress mental health|返済の不安で眠りや人付き合いが変わる。|SLP-008,MEN-001|逆因果と所得条件を確認し、個別の金融・法的助言とは分ける。
@intimacy|恋愛・親密さ・パートナーシップ|INT
長続きする関係は性格の相性で予測できる？|relationship quality prediction;couple longitudinal studies|交際前の条件と、交際中の支え合いを比較する。|REL-008,PER-001|集団の予測精度で個人の結婚や別れを判断しない。
二人で新しいことをすると関係は変わる？|self expansion;shared novel activities|いつもの外食と初めての共同体験で気分が違うか考える。|WEL-004,REL-006|新奇性と一緒に過ごす時間の効果を分け、無理な参加を勧めない。
性的な頻度が多いほど満足度は高い？|sexual frequency;relationship well being|他人の平均と自分たちの満足の違いを整理する。|WEL-001|頻度を義務にしない。関連と因果を分け、同意と個人差を優先する。
親密になりたい頻度が違うとき、どう考える？|sexual desire discrepancy;couple adjustment|片方が親密さを求めるとき、相手は休みたい。|REL-010|要求の強制や病理化を避け、同意と健康状態を前提にする。
